Product Title,Product URL,Product Image,Old Price,New Price,Discount Price,Discount Percentage
Bundle of 4 Moisturizers at the price of 3,https://saeedghani.pk/collections/skin-care/products/winter-steal-deal-bundle-of-4-moisturizers-at-the-price-of-3,https://saeedghani.pk/cdn/shop/files/Bundle_of_4_Moisturizers_at_the_price_of_3_copy_300x.jpg?v=1739308417,Rs. 1750,Rs. 1450,Rs. 300,-17%
Facial Kit,https://saeedghani.pk/collections/skin-care/products/facial-kit,https://saeedghani.pk/cdn/shop/files/Facial_Kit_300x.jpg?v=1744874782,Rs. 3800,Rs. 3040,Rs. 760,-20%
Ubtan Basket,https://saeedghani.pk/collections/skin-care/products/ubtan-basket,https://saeedghani.pk/cdn/shop/files/Ubtan-Basket-2_300x.jpg?v=1746188106,Rs. 2650,Rs. 2120,Rs. 530,-20%
Vitamin C Boost Basket,https://saeedghani.pk/collections/skin-care/products/vitamin-c-boost-basket,https://saeedghani.pk/cdn/shop/products/Vitamin-C-Kit_300x.jpg?v=1746188112,Rs. 2430,Rs. 2187,Rs. 243,-10%
Super Growth and Glow Bundle,https://saeedghani.pk/collections/skin-care/products/super-growth-and-glow-bundle,https://saeedghani.pk/cdn/shop/products/Basket-3-A_300x.jpg?v=1746188115,Rs. 5960,Rs. 4470,Rs. 1490,-25%
Glow Essentials set,https://saeedghani.pk/collections/skin-care/products/glow-essentials-set,https://saeedghani.pk/cdn/shop/products/Basket-2-A_300x.jpg?v=1746188117,Rs. 6270,Rs. 4703,Rs. 1567,-24%
Brightening Self-Care Set,https://saeedghani.pk/collections/skin-care/products/brightening-self-care-set,https://saeedghani.pk/cdn/shop/products/Basket-1-A_300x.jpg?v=1746188118,Rs. 7520,Rs. 5640,Rs. 1880,-25%
Skin and Hair Heaven Set,https://saeedghani.pk/collections/skin-care/products/skin-and-hair-heaven-set,https://saeedghani.pk/cdn/shop/products/Basket-4-A_300x.jpg?v=1746188113,Rs. 5650,Rs. 4238,Rs. 1412,-24%
Mehndi basket,https://saeedghani.pk/collections/skin-care/products/mehndi-basket,https://saeedghani.pk/cdn/shop/files/Mehndi-Basket_300x.jpg?v=1746188107,Rs. 2200,Rs. 1980,Rs. 220,-10%
Mayon Mehendi Basket,https://saeedghani.pk/collections/skin-care/products/mayon-mehendi-basket,https://saeedghani.pk/cdn/shop/files/mehndi-masket-1_300x.jpg?v=1746188107,Rs. 4440,Rs. 3552,Rs. 888,-20%
Glow & Care Set - Gift Box,https://saeedghani.pk/collections/skin-care/products/glow-care-set-gift-box,https://saeedghani.pk/cdn/shop/files/Image02_300x.jpg?v=1746188095,Rs. 2970,Rs. 2525,Rs. 445,-14%
Special Glamour - Gift Box,https://saeedghani.pk/collections/skin-care/products/special-glamour-gift-box,https://saeedghani.pk/cdn/shop/files/SpecialGlamourSet_d97d0409-1d1c-42e7-8db6-181d93c6a9df_300x.jpg?v=1750941245,Rs. 3070,Rs. 2456,Rs. 614,-20%
Vital C Skincare - Gift Box,https://saeedghani.pk/collections/skin-care/products/vital-c-skincare-gift-box,https://saeedghani.pk/cdn/shop/files/Image04_300x.jpg?v=1746188095,Rs. 1540,Rs. 1232,Rs. 308,-20%
Hydra Glow essentials - Gift Box,https://saeedghani.pk/collections/skin-care/products/hydra-glow-essentials-gift-box,https://saeedghani.pk/cdn/shop/files/Image03_300x.jpg?v=1746188094,Rs. 1950,Rs. 1560,Rs. 390,-20%
Nature’s care set - Gift Box,https://saeedghani.pk/collections/skin-care/products/nature-s-care-set-gift-box,https://saeedghani.pk/cdn/shop/files/Image05_300x.jpg?v=1746188093,Rs. 4690,Rs. 3987,Rs. 703,-14%
Classic Charm - Gift Box,https://saeedghani.pk/collections/skin-care/products/classic-charm-gift-box,https://saeedghani.pk/cdn/shop/files/ClassicCharmBundle_f8763218-824f-47d4-b13a-9d516c92da02_300x.jpg?v=1750941246,Rs. 2980,Rs. 2533,Rs. 447,-15%
Gift Basket,https://saeedghani.pk/collections/skin-care/products/gift-basket,https://saeedghani.pk/cdn/shop/files/Small_300x.jpg?v=1746188111,,Rs. 350,,
Bridal Kit,https://saeedghani.pk/collections/skin-care/products/bridal-kit-1,https://saeedghani.pk/cdn/shop/files/BridalKit_300x.jpg?v=1722861062,Rs. 2390,Rs. 1912,Rs. 478,-20%
Pack of 2 Henna Powder Hair Dye Pouch,https://saeedghani.pk/collections/skin-care/products/pack-of-2-henna-hair-dye-pouch-100gm,https://saeedghani.pk/cdn/shop/files/WhitePicsofDeals26_300x.jpg?v=1687350854,Rs. 600,Rs. 480,Rs. 120,-20%
Aloe Vera Face Pack,https://saeedghani.pk/collections/skin-care/products/aloe-vera-face-pack,https://saeedghani.pk/cdn/shop/products/Aloe-Vera_300x.jpg?v=1750941226,,Rs. 240,,
Tulsi Face Pack,https://saeedghani.pk/collections/skin-care/products/tulsi-face-pack,https://saeedghani.pk/cdn/shop/products/Tulsi_300x.jpg?v=1750941227,,Rs. 240,,
Lemon Face Pack,https://saeedghani.pk/collections/skin-care/products/lemon-face-pack,https://saeedghani.pk/cdn/shop/products/Lemon_9cec2f15-f421-47ad-8b74-16c2e92e2491_300x.jpg?v=1741786665,,Rs. 240,,
All-Day Sun Defense Bundle,https://saeedghani.pk/collections/skin-care/products/all-day-sun-defense-bundle,https://saeedghani.pk/cdn/shop/files/Sun_Protection_TRO_fc441632-3ca1-42d1-9622-0993bc606880_300x.jpg?v=1741666424,Rs. 2440,Rs. 2074,Rs. 366,-15%
Day Night Revival Set,https://saeedghani.pk/collections/skin-care/products/day-night-revival-set,https://saeedghani.pk/cdn/shop/files/Day_night_revival_set_copy_300x.jpg?v=1739347071,Rs. 1290,Rs. 1097,Rs. 193,-14%
PM Routine,https://saeedghani.pk/collections/skin-care/products/pm-routine,https://saeedghani.pk/cdn/shop/files/PM-routine_300x.jpg?v=1717670396,Rs. 1590,Rs. 1352,Rs. 238,-14%
Bundle of 3 Super Serums,https://saeedghani.pk/collections/skin-care/products/bundle-of-3-super-serums,https://saeedghani.pk/cdn/shop/files/Bundleof3Serums_300x.jpg?v=1740934894,Rs. 3600,Rs. 2700,Rs. 900,-25%
New Arrivals Bundle,https://saeedghani.pk/collections/skin-care/products/new-arrival-bundle,https://saeedghani.pk/cdn/shop/files/New_arrivals_bundle_Sunscreen_300x.jpg?v=1740813439,Rs. 3090,Rs. 2318,Rs. 772,-24%
